"Comment","Designator","Footprint","JLCPCB Part #"
"10uF 10% 25V","C201,C302,C303,C304,C305,C306,C307,C402,C405,C412,C417","1206","C9807"
"1uF 10% 50V","C202","0805","C28323"
"0.1uF 10% 50V","C203,C204,C205,C301,C308,C401,C403,C413,C416","0603","C14663"
"22pF 5% 50V","C208","0603","C1653"
"220nF 10% 50V","C309,C415","0805","C5378"
"47uF 20% 10V","C414","1206","C96123"
"13V 21.5V 1uA Leak","D303","DO-214AA","C224008"
"KT-0603R","D401","0603","C2286"
"40V 1A","D601","SOD-323","C191023"
"LM74700QDBVTQ1","IC301,IC403","SOT-23-6","C2653623"
"TLV76733DRVR","IC401","WSON-6(2x2)","C2848334"
"1715721","J301","Plugin,P=5.08mm","C480516"
"A2541HWV-10P","J501,J502,J503,J504,J505,J506,J507,J508","Plugin,P=2.54mm","C225507"
"1051640001","J601","SMD","C234179"
"10uH, 5.4A, 20%","L402","SMD,12.3x12.3mm","C9904"
"TPS54308DDCR","PS401","SOT-23-6","C168839"
"60V 38A","Q301,Q402","DPAK","C236252"
"10k? 1/8W 1%","R201,R202,R203,R204,R205,R206","0805","C17414"
"22? 1/8W 5%","R207,R208","0805","C17561"
"4.7k? 1/8W 1%","R209,R210","0805"," C17673"
"47? 1/8W 1%","R211,R212,R213","0805","C17714"
"330? 1/8W 1%","R401","0805","C17630"
"100k? 1/8W 1%","R405,R601,R602","0805","C149504"
"13.7k? 1/8W 1%","R406","0805","C228298"
"Push Button SPST","S201,S202","SMD,4x3mm","C720477"
"ESP32-S3-WROOM-1U-N16R8","U201","SMD,19.2x18mm","C3013946"
"ESD Protection IC","U601","SOT-23-6L","C7519"
