"Designator","Mid X","Mid Y","Layer","Rotation"
"C201","225.000000","-109.600000","top","180.000000"
"C202","200.400000","-96.600000","top","-90.000000"
"C203","198.600000","-96.700000","top","90.000000"
"C204","224.160000","-111.600000","top","0.000000"
"C205","234.000000","-95.800000","top","90.000000"
"C208","200.700000","-122.150000","top","-90.000000"
"C301","70.735000","-115.000000","top","0.000000"
"C302","69.800000","-117.000000","top","0.000000"
"C303","83.700000","-114.500000","top","180.000000"
"C304","69.800000","-119.500000","top","0.000000"
"C305","83.700000","-117.000000","top","180.000000"
"C306","83.700000","-119.500000","top","180.000000"
"C307","83.700000","-121.900000","top","180.000000"
"C308","69.735000","-107.500000","top","180.000000"
"C309","69.735000","-109.500000","top","180.000000"
"C401","164.300000","-120.790000","top","90.000000"
"C402","166.600000","-120.890000","top","-90.000000"
"C403","158.600000","-121.536986","top","90.000000"
"C405","156.500000","-121.490000","top","-90.000000"
"C412","120.300000","-124.800000","top","-90.000000"
"C413","125.400000","-120.400000","top","-90.000000"
"C414","115.400000","-99.200000","top","-90.000000"
"C415","123.800000","-105.000000","top","90.000000"
"C416","132.300000","-104.900000","top","90.000000"
"C417","134.600000","-105.500000","top","90.000000"
"D303","76.700000","-105.000000","top","0.000000"
"D401","171.500000","-94.900000","top","-90.000000"
"D601","175.200000","-102.675301","top","90.000000"
"IC301","69.735000","-112.500000","top","0.000000"
"IC401","161.900000","-121.126843","top","180.000000"
"IC403","126.800000","-105.300000","top","90.000000"
"J301","67.912500","-97.206000","top","180.000000"
"J501","235.000000","-133.500000","top","180.000000"
"J502","195.000000","-133.500000","top","180.000000"
"J503","190.000000","-133.500000","top","180.000000"
"J504","150.000000","-133.500000","top","180.000000"
"J505","145.000000","-133.500000","top","180.000000"
"J506","105.000000","-133.500000","top","180.000000"
"J507","100.000000","-133.500000","top","180.000000"
"J508","60.000000","-133.500000","top","180.000000"
"J601","180.350000","-93.595701","top","180.000000"
"L402","117.100000","-113.350000","top","90.000000"
"PS401","124.100000","-124.900000","top","0.000000"
"Q301","77.000000","-119.376000","top","90.000000"
"Q402","133.576000","-98.550000","top","180.000000"
"R201","203.000000","-99.400000","top","180.000000"
"R202","229.200000","-123.800000","top","-90.000000"
"R203","220.600000","-94.450000","top","90.000000"
"R204","218.500000","-94.450000","top","90.000000"
"R205","216.400000","-94.450000","top","90.000000"
"R206","214.300000","-94.450000","top","90.000000"
"R207","207.860000","-110.575000","top","90.000000"
"R208","209.860000","-110.575000","top","90.000000"
"R209","229.600000","-109.700000","top","180.000000"
"R210","229.600000","-107.600000","top","180.000000"
"R211","203.300000","-119.300000","top","180.000000"
"R212","203.300000","-123.900000","top","180.000000"
"R213","203.300000","-121.700000","top","180.000000"
"R401","171.500000","-117.300000","top","-90.000000"
"R405","127.700000","-120.200000","top","90.000000"
"R406","129.800000","-123.800000","top","180.000000"
"R601","179.800000","-110.600000","top","0.000000"
"R602","181.700000","-113.500000","top","0.000000"
"S201","196.200000","-95.600000","top","90.000000"
"S202","231.600000","-95.900000","top","90.000000"
"U201","216.460000","-122.300000","top","-90.000000"
"U601","180.023658","-99.573658","top","-90.000000"
