"Value","Reference","JLCPCB Part #","Package"
"1uF 10% 50V","C201","C28323","0805"
"22pF 5% 50V","C208","C1653","0603"
"10uF 10% 50V","C202,C302,C303,C304,C305,C306,C307,C401,C402,C404,C409,C411","C13585","1206"
"0.1uF 10% 50V","C203,C204,C205,C301,C308,C403,C408,C410","C14663","0603"
"220nF 10% 50V","C309,C406","C5378","0805"
"22uF 20% 25V","C405,C407","C45783","0805"
"KT-0603R","D401","C2286","0603"
"40V 1A","D601","C191023","SOD-323"
"13.3V 0.1uA Leak","D301,D302","C27031045","SOD-123FL"
"TPS563200DDCR","IC401","C97253","TSOT-23-6"
"LM74700QDBVTQ1","IC301,IC402","C2653623","SOT-23-6"
"1715721","J301","C480516","Plugin,P=5.08mm"
"1051640001","J602","C234179","SMD"
"A2541HWV-10P","J501,J502,J503,J504,J505,J506,J507,J508","C225507","Plugin,P=2.54mm"
"3.3uH 6.6A 20%","L401","C2937437","SMD,4x4mm"
"60V 38A","Q301,Q401","C236252","DPAK"
"330Ω 1/8W 1%","R401","C17630","0805"
"56kΩ 1/4W 1%","R402","C137251","1206"
"10kΩ 1/8W 1%","R201,R202,R203,R204,R205,R206,R403,R404","C17414","0805"
"22Ω 1/8W 5%","R207,R208","C17561","0805"
"4.7kΩ 1/8W 1%","R209,R210"," C17673","0805"
"47Ω 1/8W 1%","R211,R212,R213","C17714","0805"
"100kΩ 1/8W 1%","R603,R604","C149504","0805"
"Push Button SPST","S201,S202","C720477","SMD,4x3mm"
"ESP32-S3-WROOM-1U-N16R8","U201","C3013946","SMD,19.2x18mm"
"LDO 3.3V 1A","U401","C144361","D2PAK-5"
"ESD Protection IC","U601","C7519","SOT-23-6L"
