Ref,Val,Package,PosX,PosY,Rot,Side
"C201","10uF 10% 25V","CAPC3216X180N",225.000000,-109.600000,180.000000,top
"C202","1uF 10% 50V","CAPC2012X135N",200.400000,-96.600000,-90.000000,top
"C203","0.1uF 10% 50V","CAPC1608X90N",198.600000,-96.700000,90.000000,top
"C204","0.1uF 10% 50V","CAPC1608X90N",224.160000,-111.600000,0.000000,top
"C205","0.1uF 10% 50V","CAPC1608X90N",234.000000,-95.800000,90.000000,top
"C208","22pF 5% 50V","CAPC1608X90N",200.700000,-122.150000,-90.000000,top
"C301","0.1uF 10% 50V","CAPC1608X90N",70.735000,-115.000000,0.000000,top
"C302","10uF 10% 25V","CAPC3216X180N",69.800000,-117.000000,0.000000,top
"C303","10uF 10% 25V","CAPC3216X180N",83.700000,-114.500000,180.000000,top
"C304","10uF 10% 25V","CAPC3216X180N",69.800000,-119.500000,0.000000,top
"C305","10uF 10% 25V","CAPC3216X180N",83.700000,-117.000000,180.000000,top
"C306","10uF 10% 25V","CAPC3216X180N",83.700000,-119.500000,180.000000,top
"C307","10uF 10% 25V","CAPC3216X180N",83.700000,-121.900000,180.000000,top
"C308","0.1uF 10% 50V","CAPC1608X90N",69.735000,-107.500000,180.000000,top
"C309","220nF 10% 50V","CAPC2012X135N",69.735000,-109.500000,180.000000,top
"C401","0.1uF 10% 50V","CAPC1608X90N",164.300000,-120.790000,90.000000,top
"C402","10uF 10% 25V","CAPC3216X180N",166.600000,-120.890000,-90.000000,top
"C403","0.1uF 10% 50V","CAPC1608X90N",158.600000,-121.536986,90.000000,top
"C405","10uF 10% 25V","CAPC3216X180N",156.500000,-121.490000,-90.000000,top
"C412","10uF 10% 25V","CAPC3216X180N",120.300000,-124.800000,-90.000000,top
"C413","0.1uF 10% 50V","CAPC1608X90N",125.400000,-120.400000,-90.000000,top
"C414","47uF 20% 10V","CAPC3216X190N",115.400000,-99.200000,-90.000000,top
"C415","220nF 10% 50V","CAPC2012X135N",123.800000,-105.000000,90.000000,top
"C416","0.1uF 10% 50V","CAPC1608X90N",132.300000,-104.900000,90.000000,top
"C417","10uF 10% 25V","CAPC3216X180N",134.600000,-105.500000,90.000000,top
"D303","13V 21.5V 1uA Leak","DO-214AA_Bidirectional",76.700000,-105.000000,0.000000,top
"D401","KT-0603R","LED_0603_1608Metric",171.500000,-94.900000,-90.000000,top
"D601","40V 1A","D_SOD-323F",175.200000,-102.675301,90.000000,top
"IC301","LM74700QDBVTQ1","SOT95P280X145-6N",69.735000,-112.500000,0.000000,top
"IC401","TLV76733DRVR","SON65P200X200X80-7N",161.900000,-121.126843,180.000000,top
"IC403","LM74700QDBVTQ1","SOT95P280X145-6N",126.800000,-105.300000,90.000000,top
"J301","1715721","1715721",67.912500,-97.206000,180.000000,top
"J501","A2541HWV-10P","PinSocket_1x10_P2.54mm_Vertical_Female",235.000000,-133.500000,180.000000,top
"J502","A2541HWV-10P","PinSocket_1x10_P2.54mm_Vertical_Female",195.000000,-133.500000,180.000000,top
"J503","A2541HWV-10P","PinSocket_1x10_P2.54mm_Vertical_Female",190.000000,-133.500000,180.000000,top
"J504","A2541HWV-10P","PinSocket_1x10_P2.54mm_Vertical_Female",150.000000,-133.500000,180.000000,top
"J505","A2541HWV-10P","PinSocket_1x10_P2.54mm_Vertical_Female",145.000000,-133.500000,180.000000,top
"J506","A2541HWV-10P","PinSocket_1x10_P2.54mm_Vertical_Female",105.000000,-133.500000,180.000000,top
"J507","A2541HWV-10P","PinSocket_1x10_P2.54mm_Vertical_Female",100.000000,-133.500000,180.000000,top
"J508","A2541HWV-10P","PinSocket_1x10_P2.54mm_Vertical_Female",60.000000,-133.500000,180.000000,top
"J601","1051640001","CON00906_5_MOL",180.350000,-93.595701,180.000000,top
"L402","10uH, 5.4A, 20%","L_SXN_SMDRI127",117.100000,-113.350000,90.000000,top
"PS401","TPS54308DDCR","SOT95P280X110-6N",124.100000,-124.900000,0.000000,top
"Q301","60V 38A","DPAK__SINGLE-GAUGE__TO-252_369C__ISSUE_F",77.000000,-119.376000,90.000000,top
"Q402","60V 38A","DPAK__SINGLE-GAUGE__TO-252_369C__ISSUE_F",133.576000,-98.550000,180.000000,top
"R201","10kΩ 1/8W 1%","RESC2013X65N",203.000000,-99.400000,180.000000,top
"R202","10kΩ 1/8W 1%","RESC2013X65N",229.200000,-123.800000,-90.000000,top
"R203","10kΩ 1/8W 1%","RESC2013X65N",220.600000,-94.450000,90.000000,top
"R204","10kΩ 1/8W 1%","RESC2013X65N",218.500000,-94.450000,90.000000,top
"R205","10kΩ 1/8W 1%","RESC2013X65N",216.400000,-94.450000,90.000000,top
"R206","10kΩ 1/8W 1%","RESC2013X65N",214.300000,-94.450000,90.000000,top
"R207","22Ω 1/8W 5%","RESC2013X65N",207.860000,-110.575000,90.000000,top
"R208","22Ω 1/8W 5%","RESC2013X65N",209.860000,-110.575000,90.000000,top
"R209","4.7kΩ 1/8W 1%","RESC2013X65N",229.600000,-109.700000,180.000000,top
"R210","4.7kΩ 1/8W 1%","RESC2013X65N",229.600000,-107.600000,180.000000,top
"R211","47Ω 1/8W 1%","RESC2013X65N",203.300000,-119.300000,180.000000,top
"R212","47Ω 1/8W 1%","RESC2013X65N",203.300000,-123.900000,180.000000,top
"R213","47Ω 1/8W 1%","RESC2013X65N",203.300000,-121.700000,180.000000,top
"R401","330Ω 1/8W 1%","RESC2013X65N",171.500000,-117.300000,-90.000000,top
"R405","100kΩ 1/8W 1%","RESC2013X65N",127.700000,-120.200000,90.000000,top
"R406","13.7kΩ 1/8W 1%","RESC2012X60N",129.800000,-123.800000,180.000000,top
"R601","100kΩ 1/8W 1%","RESC2013X65N",179.800000,-110.600000,0.000000,top
"R602","100kΩ 1/8W 1%","RESC2013X65N",181.700000,-113.500000,0.000000,top
"S201","Push Button SPST","SW_TS-1088-AR02016",196.200000,-95.600000,90.000000,top
"S202","Push Button SPST","SW_TS-1088-AR02016",231.600000,-95.900000,90.000000,top
"U201","ESP32-S3-WROOM-1U-N16R8","ESP32-S3-WROOM-1U",216.460000,-122.300000,-90.000000,top
"U601","ESD Protection IC","SOT95P280X145-6N",180.023658,-99.573658,-90.000000,top
